dayofyear,encounter_type,change_n_interactions
2020-02-09,business,18.081864761932586
2020-02-09,home,7.561415051993015
2020-02-09,other,17.616107679573332
2020-02-09,poi,11.783111200505791
2020-02-10,home,24.373702527162955
2020-02-10,business,9.643127120127737
2020-02-10,other,13.189974569873986
2020-02-10,poi,3.7515210055817594
2020-02-11,other,10.167725256061221
2020-02-11,poi,27.83693260367226
2020-02-11,home,21.819875242534703
2020-02-11,business,9.084989655854091
2020-02-12,home,13.294908754720014
2020-02-12,business,11.703166240253404
2020-02-12,other,5.67024123806259
2020-02-12,poi,0.0
2020-02-13,other,0.36653838254314675
2020-02-13,home,6.513768469912806
2020-02-13,business,13.472790619462671
2020-02-13,poi,10.355611308385292
2020-02-14,home,6.9400013903999636
2020-02-14,other,3.9153722165365057
2020-02-14,business,8.926745410298786
2020-02-14,poi,-7.941636383549122
2020-02-15,other,0.0
2020-02-15,home,11.547681219719742
2020-02-15,business,0.0
2020-02-15,poi,3.8058383587787015
2020-02-16,business,11.27384640059299
2020-02-16,other,0.0
2020-02-16,poi,0.0
2020-02-16,home,0.0
2020-02-17,other,48.04007345731562
2020-02-17,home,0.0
2020-02-17,business,-84.3627551289215
2020-02-17,poi,20.316678196880076
2020-02-18,poi,-1.442062744367123
2020-02-18,business,-39.81627384306275
2020-02-18,other,20.77876311010445
2020-02-18,home,-2.6900678513767984
2020-02-19,other,18.888597692320232
2020-02-19,business,-35.59895532578812
2020-02-19,poi,192.39100582358137
2020-02-19,home,-0.9950672779648673
2020-02-20,business,-34.29341626614122
2020-02-20,home,0.0
2020-02-20,other,20.032359228417953
2020-02-20,poi,3.322777406987387
2020-02-21,business,-39.4476544728404
2020-02-21,poi,44.041732519565514
2020-02-21,other,13.049154682385812
2020-02-21,home,-4.8588320630690855
2020-02-22,business,10.363626412963356
2020-02-22,other,-1.9392254511170104
2020-02-22,poi,-6.1086615400952615
2020-02-22,home,5.257667166965119
2020-02-23,other,-10.605034677640123
2020-02-23,poi,23.68346455534507
2020-02-23,business,10.572492697467496
2020-02-23,home,3.316209110724966
2020-02-24,home,2.3468671598718682
2020-02-24,other,-11.03608011124998
2020-02-24,business,42.02124021291787
2020-02-24,poi,-20.01035660571392
2020-02-25,home,13.041898170023568
2020-02-25,poi,60.66524900914754
2020-02-25,business,34.59334885332424
2020-02-25,other,0.0
2020-02-26,poi,11.643686360560768
2020-02-26,business,37.422098544755485
2020-02-26,other,5.532045397063867
2020-02-26,home,17.040158613842937
2020-02-27,other,-2.0558859262444162
2020-02-27,home,15.712563612664244
2020-02-27,business,34.38613520812086
2020-02-27,poi,-5.249550420383386
2020-02-28,other,-3.568361607448478
2020-02-28,business,36.408802483332536
2020-02-28,home,11.66789818057692
2020-02-28,poi,0.0
2020-02-29,poi,60.64312963107521
2020-02-29,business,29.351286654814235
2020-02-29,home,12.085578066552793
2020-02-29,other,20.217078106193263
2020-03-01,other,8.135258706945114
2020-03-01,home,2.2007864336844873
2020-03-01,poi,30.013424491526397
2020-03-01,business,22.616272436910823
2020-03-02,home,0.8561198326053843
2020-03-02,other,-8.747245917263369
2020-03-02,business,44.32052944834224
2020-03-02,poi,-6.985366264895698
2020-03-03,poi,16.657526914259655
2020-03-03,other,-1.38034681735415
2020-03-03,business,35.30631087438574
2020-03-03,home,9.297609612305969
2020-03-04,poi,0.7984767797583725
2020-03-04,other,-4.772069360447928
2020-03-04,home,17.11448718506128
2020-03-04,business,28.23245175214928
2020-03-05,other,-7.3670084772041395
2020-03-05,home,14.837804993962722
2020-03-05,business,37.90357507124853
2020-03-05,poi,1.9647249179996384
2020-03-06,poi,-13.09744220106337
2020-03-06,home,2.6125518634401157
2020-03-06,business,30.484968843538308
2020-03-06,other,-12.536380705625472
2020-03-07,home,4.584713579512756
2020-03-07,other,27.333541793948825
2020-03-07,poi,35.99928655504412
2020-03-07,business,29.221627789890082
2020-03-08,poi,-10.002786927405339
2020-03-08,home,-10.65401447338673
2020-03-08,business,19.23729809490009
2020-03-08,other,-6.551764037552821
2020-03-09,home,13.218447239057918
2020-03-09,other,0.056135674376034395
2020-03-09,business,33.52129977806222
2020-03-09,poi,-7.367154674218435
2020-03-10,other,-1.695354584085007
2020-03-10,poi,-13.731434441665924
2020-03-10,home,31.257070499588036
2020-03-10,business,21.97990242405563
2020-03-11,home,31.993198979629824
2020-03-11,business,18.959279679622565
2020-03-11,poi,-13.186502312010617
2020-03-11,other,-4.453522167199642
2020-03-12,business,9.67525159334446
2020-03-12,other,-3.9069822930208886
2020-03-12,poi,-23.246781980533882
2020-03-12,home,32.210147761513696
2020-03-13,business,-18.108974128100296
2020-03-13,home,15.436199594654965
2020-03-13,other,-32.97581877549995
2020-03-13,poi,-56.31991079775204
2020-03-14,poi,-74.15144683767154
2020-03-14,business,17.446292114769022
2020-03-14,other,-42.753969413124956
2020-03-14,home,6.1454262905430435
2020-03-15,other,-60.39856137142958
2020-03-15,business,47.46015117228537
2020-03-15,home,-12.07269491246783
2020-03-15,poi,-78.28163394052547
2020-03-16,business,-61.98009320682502
2020-03-16,home,-13.294377357072895
2020-03-16,poi,-70.65317955616
2020-03-16,other,-48.37660323743085
2020-03-17,other,-67.27480507442671
2020-03-17,home,-17.517095016069252
2020-03-17,business,-73.46227650674628
2020-03-17,poi,-85.00505750119083
2020-03-18,poi,-86.5205413600951
2020-03-18,other,-73.33641072409192
2020-03-18,business,-77.53911496609585
2020-03-18,home,-18.891080707158615
2020-03-19,home,-26.135596296262676
2020-03-19,poi,-90.01994899190176
2020-03-19,business,-81.53714761498395
2020-03-19,other,-80.40979306946294
2020-03-20,other,-90.29826867507211
2020-03-20,home,-50.80975159349352
2020-03-20,business,-86.81694978113028
2020-03-20,poi,-95.0413955602176
2020-03-21,home,-64.61104733421901
2020-03-21,poi,-98.19364770639109
2020-03-21,business,-63.71247344739779
2020-03-21,other,-95.86749327278856
2020-03-22,poi,-94.77886695389213
2020-03-22,business,-37.6652418474961
2020-03-22,other,-91.79574369108735
2020-03-22,home,-58.471379767200084
2020-03-23,home,-59.745513215264914
2020-03-23,poi,-94.91303575319077
2020-03-23,business,-90.59771180249825
2020-03-23,other,-90.56118619201199
2020-03-24,poi,-93.42067898618403
2020-03-24,home,-47.573142414178214
2020-03-24,other,-88.05574786138226
2020-03-24,business,-91.0811057952858
2020-03-25,other,-89.23788139790325
2020-03-25,poi,-93.95707244662186
2020-03-25,business,-91.35427087732253
2020-03-25,home,-46.84235277600089
2020-03-26,home,-43.432300243548916
2020-03-26,other,-87.51801319734682
2020-03-26,poi,-93.22327522211671
2020-03-26,business,-91.55263881651706
2020-03-27,other,-89.98248486314462
2020-03-27,home,-45.87360934143646
2020-03-27,poi,-94.86911515492571
2020-03-27,business,-91.77175105242851
2020-03-28,business,-67.49029505243689
2020-03-28,other,-93.46939956544348
2020-03-28,home,-61.41233431926856
2020-03-28,poi,-95.95508670852195
2020-03-29,poi,-95.46852080822359
2020-03-29,business,-58.03977934462392
2020-03-29,other,-94.25450432358019
2020-03-29,home,-66.98366916157717
2020-03-30,business,-92.48462343855383
2020-03-30,home,-53.86689866566956
2020-03-30,poi,-93.44772216446916
2020-03-30,other,-88.79598211432065
2020-03-31,business,-93.06700821827616
2020-03-31,poi,-93.76233985711171
2020-03-31,other,-88.19361926059882
2020-03-31,home,-46.029087558424855
2020-04-01,poi,-92.8881074978679
2020-04-01,home,-41.44820140688324
2020-04-01,business,-93.14526949351858
2020-04-01,other,-87.45690273181333
2020-04-02,home,-43.30003304823944
2020-04-02,poi,-92.41152640466028
2020-04-02,business,-93.33145550385295
2020-04-02,other,-87.6549086229592
2020-04-03,business,-93.54535893070248
2020-04-03,home,-51.48876544920118
2020-04-03,other,-91.17662027203039
2020-04-03,poi,-94.36378213607061
2020-04-04,poi,-95.71572171421987
2020-04-04,other,-91.528733668236
2020-04-04,home,-55.66106291283545
2020-04-04,business,-72.44820135907692
2020-04-05,home,-62.10893730246869
2020-04-05,business,-63.24638640171918
2020-04-05,other,-92.281141524331
2020-04-05,poi,-95.34664269481034
2020-04-06,poi,-92.30318862274788
2020-04-06,home,-47.42761989795168
2020-04-06,other,-84.75610100700423
2020-04-06,business,-93.45276936049635
2020-04-07,other,-86.68379956490895
2020-04-07,home,-41.866147413681595
2020-04-07,business,-94.04079118899708
2020-04-07,poi,-93.53605446773244
2020-04-08,home,-41.13319171218856
2020-04-08,other,-87.53326316230523
2020-04-08,business,-94.03784557698609
2020-04-08,poi,-93.38199211561864
2020-04-09,poi,-92.62005709972418
2020-04-09,other,-89.63162685116023
2020-04-09,home,-44.79900838447875
2020-04-09,business,-94.35927637916488
2020-04-10,poi,-93.76654745200543
2020-04-10,business,-95.47942923029511
2020-04-10,home,-50.44681487487579
2020-04-10,other,-90.82410273081055
2020-04-11,business,-73.60589902697076
2020-04-11,home,-51.453258468233166
2020-04-11,other,-91.48607718284552
2020-04-11,poi,-95.16072130194433
2020-04-12,poi,-97.79318494270018
2020-04-12,other,-90.50918451534255
2020-04-12,business,-71.036259928257
2020-04-12,home,-57.57774306760933
2020-04-13,poi,-95.07090634146869
2020-04-13,home,-56.31581191702091
2020-04-13,other,-91.58126440893413
2020-04-13,business,-94.4848504032842
2020-04-14,other,-84.45918646495575
