dayofyear,Food,Shop & Service
2020-04-20,-50.124275062137535,-19.027484143763218
2020-04-21,-50.90163934426229,-18.475991649269307
2020-04-22,-50.89869281045751,-19.484536082474225
2020-04-23,-51.22349102773247,-18.36945304437564
2020-04-24,-53.07086614173229,-23.814229249011866
2020-04-25,-57.59717314487632,-33.419913419913414
2020-04-26,-56.85425685425686,-23.22357019064125
2020-04-27,-50.3728251864126,-17.019027484143766
2020-04-28,-50.81967213114753,-20.876826722338205
2020-04-29,-51.225490196078425,-20.412371134020624
2020-04-30,-51.305057096247964,-20.123839009287913
2020-05-01,-52.75590551181102,-24.703557312252965
2020-05-02,-57.455830388692576,-34.37229437229438
2020-05-03,-56.42135642135643,-33.01559792027731
2020-05-04,-50.207125103562554,-17.864693446088808
2020-05-05,-50.24590163934426,-19.20668058455115
2020-05-06,-51.06209150326797,-20.000000000000007
2020-05-07,-50.89722675367048,-21.052631578947356
2020-05-08,-52.91338582677165,-24.110671936758887
2020-05-09,-57.52650176678444,-27.96536796536796
2020-05-10,-56.13275613275614,-39.861351819757374
2020-05-11,-49.79287489643745,-19.344608879492608
2020-05-12,-50.49180327868852,-21.816283924843425
2020-05-13,-50.89869281045751,-24.329896907216508
2020-05-14,-51.141924959216965,-22.600619195046434
2020-05-15,-52.91338582677165,-27.37154150197628
2020-05-16,-57.3851590106007,-35.67099567099567
2020-05-17,-56.493506493506494,-31.71577123050261
2020-05-18,-49.875724937862465,-18.28752642706132
2020-05-19,-50.655737704918025,-21.189979123173273
2020-05-20,-50.81699346405229,-23.814432989690726
2020-05-21,-50.89722675367048,-23.01341589267285
2020-05-22,-52.83464566929135,-27.173913043478258
2020-05-23,-57.6678445229682,-31.51515151515152
2020-05-24,-56.27705627705628,-33.795493934142115
2020-05-25,-50.124275062137535,-22.19873150105708
2020-05-26,-50.1639344262295,-24.947807933194156
2020-05-27,-51.06209150326797,-24.742268041237125
2020-05-28,-50.815660685154974,-22.497420020639826
2020-05-29,-52.44094488188977,-26.877470355731226
2020-05-30,-57.17314487632509,-34.19913419913421
2020-05-31,-56.060606060606055,-33.10225303292894
2020-06-01,-49.627174813587416,-21.98731501057083
2020-06-02,-50.409836065573764,-22.02505219206681
2020-06-03,-50.65359477124183,-23.092783505154646
2020-06-04,-50.4078303425775,-24.664602683178526
2020-06-05,-52.362204724409445,-27.96442687747036
2020-06-06,-56.74911660777385,-33.419913419913414
2020-06-07,-55.48340548340549,-32.668977469670715
2020-06-08,-48.96437448218723,-21.775898520084567
2020-06-09,-49.67213114754099,-23.38204592901879
2020-06-10,-49.50980392156862,-21.134020618556704
2020-06-11,-49.51060358890702,-18.57585139318885
2020-06-12,-49.84251968503936,-25.296442687747046
2020-06-13,-53.003533568904594,-29.6969696969697
2020-06-14,-51.44300144300145,-29.116117850953216
2020-06-15,-46.396023198011605,-17.230443974630017
2020-06-16,-46.88524590163934,-19.10229645093946
2020-06-17,-46.241830065359466,-19.484536082474225
2020-06-18,-45.18760195758564,-18.26625386996904
2020-06-19,-46.37795275590552,-22.332015810276683
2020-06-20,-51.23674911660777,-30.649350649350648
2020-06-21,-48.556998556998565,-36.048526863084916
2020-06-22,-43.082021541010775,-17.019027484143766
2020-06-23,-42.459016393442624,-15.1356993736952
2020-06-24,-40.11437908496731,-15.2577319587629
2020-06-25,-38.825448613376835,-14.860681114551078
2020-06-26,-37.71653543307087,-20.55335968379447
2020-06-27,-41.06007067137809,-25.541125541125542
2020-06-28,-41.99134199134199,-24.87001733102254
2020-06-29,-38.35956917978459,-14.482029598308676
2020-06-30,-37.86885245901639,-11.6910229645094
2020-07-01,-37.41830065359476,-13.092783505154637
2020-07-02,-38.091353996737354,-16.718266253869963
2020-07-03,-39.76377952755906,-16.00790513833993
2020-07-04,-48.55123674911661,-35.84415584415584
2020-07-05,-44.01154401154401,-29.809358752166382
2020-07-06,-40.34797017398509,-15.961945031712476
2020-07-07,-36.47540983606557,-12.421711899791232
2020-07-08,-34.9673202614379,-13.40206185567011
2020-07-09,-35.970636215334416,-16.408668730650145
2020-07-10,-41.73228346456693,-19.56521739130436
2020-07-11,-37.3851590106007,-22.683982683982684
2020-07-12,-36.796536796536806,-25.99653379549394
2020-07-13,-34.71416735708368,-11.522198731501065
2020-07-14,-35.32786885245901,-15.34446764091858
2020-07-15,-33.16993464052287,-15.2577319587629
2020-07-16,-32.21859706362154,-11.764705882352933
2020-07-17,-29.37007874015749,-15.909090909090907
2020-07-18,-38.30388692579505,-29.35064935064935
2020-07-19,-40.62049062049062,-27.38301559792028
2020-07-20,-36.86826843413422,-15.433403805496827
2020-07-21,-35.08196721311475,-14.405010438413369
2020-07-22,-32.6797385620915,-13.608247422680419
2020-07-23,-32.54486133768353,-12.074303405572751
2020-07-24,-32.44094488188976,-18.478260869565222
2020-07-25,-35.759717314487624,-27.61904761904762
2020-07-26,-36.075036075036074,-28.59618717504333
2020-07-27,-36.28831814415907,-14.693446088794937
2020-07-28,-33.52459016393442,-13.048016701461385
2020-07-29,-29.166666666666664,-14.226804123711345
2020-07-30,-29.363784665579118,-15.479876160990703
2020-07-31,-28.976377952755904,-17.786561264822133
2020-08-01,-32.650176678445234,-27.61904761904762
2020-08-02,-28.282828282828287,-21.66377816291162
2020-08-03,-33.14001657000829,-12.473572938689214
2020-08-04,-39.75409836065573,-17.432150313152395
2020-08-05,-31.944444444444443,-17.42268041237114
2020-08-06,-30.750407830342574,-13.20949432404539
2020-08-07,-28.89763779527559,-17.391304347826086
2020-08-08,-26.855123674911653,-23.982683982683984
2020-08-09,-27.705627705627712,-24.436741767764303
2020-08-10,-31.06876553438277,-11.627906976744185
2020-08-11,-27.1311475409836,-12.526096033402922
2020-08-12,-25.571895424836597,-11.649484536082477
2020-08-13,-26.42740619902121,-11.351909184726516
2020-08-14,-24.015748031496077,-17.49011857707511
2020-08-15,-25.01766784452296,-24.84848484848485
2020-08-16,-26.118326118326117,-19.410745233968807
2020-08-17,-24.440762220381117,-8.350951374207193
2020-08-18,-19.59016393442622,-10.960334029227559
2020-08-19,-20.09803921568627,-10.824742268041243
2020-08-20,-19.41272430668842,-11.455108359133115
2020-08-21,-17.007874015748037,-16.205533596837952
2020-08-22,-23.816254416961137,-23.636363636363644
2020-08-23,-17.171717171717184,-21.230502599653377
2020-08-24,-23.03231151615577,-10.676532769556024
2020-08-25,-22.786885245901633,-10.647181628392477
2020-08-26,-18.055555555555557,-10.824742268041243
2020-08-27,-27.161500815660688,-9.184726522187814
2020-08-28,-21.18110236220473,-14.525691699604748
2020-08-29,-18.869257950530038,-16.709956709956696
2020-08-30,-16.883116883116887,-21.750433275563264
2020-08-31,-22.038111019055506,-7.505285412262152
