date,metric,StringencyIndex,dailyDeathsPop,dailyCasesPop,state,prec_weighted,temp_weighted,weekday,dayofyear
2020-01-30,0.8253327049529836,0.0556,0.0,0.0,KY,0.4390586175243695,4.177596207406333,3,30
2020-01-31,0.958097618734377,0.0556,0.0,0.0,KY,0.5384204685999231,6.202363587064498,4,31
2020-02-01,1.0661461171534998,0.0556,0.0,0.0,KY,4.6329750855465015,6.061919102898155,5,32
2020-02-02,0.7740686664896912,0.1111,0.0,0.0,KY,0.43893580281714606,6.777612461339055,6,33
2020-02-03,0.7615490166183869,0.1111,0.0,0.0,KY,3.0096089805443993e-05,17.694235003884486,0,34
2020-02-04,0.7540171973177426,0.1111,0.0,0.0,KY,5.843554050944196,20.39712654097605,1,35
2020-02-05,0.7762861759529099,0.1111,0.0,0.0,KY,20.356993025768265,14.449732019224866,2,36
2020-02-06,0.8374648163659549,0.1111,0.0,0.0,KY,10.816241895974278,5.5679918349492015,3,37
2020-02-07,0.9230642021152646,0.1111,0.0,0.0,KY,5.135106107607983,4.046587441775647,4,38
2020-02-08,1.0357076200643531,0.1111,0.0,0.0,KY,0.6770066094917456,0.8133494489763237,5,39
2020-02-09,0.8300335332382354,0.1111,0.0,0.0,KY,0.4259824528997747,4.34699512722458,6,40
2020-02-10,0.7469997696417559,0.1111,0.0,0.0,KY,9.307182565150363,12.840357438390498,0,41
2020-02-11,0.8163350348994687,0.1111,0.0,0.0,KY,19.819324965098602,10.716067386965076,1,42
2020-02-12,0.8188597079921852,0.1111,0.0,0.0,KY,1.0364121174270498,5.848941321890602,2,43
2020-02-13,0.9456235125231384,0.1111,0.0,0.0,KY,31.517200013395804,6.052427432593911,3,44
2020-02-14,1.1284367816091954,0.1111,0.0,0.0,KY,0.3527148935359049,4.799214908461968,4,45
2020-02-15,1.1302848945720412,0.1111,0.0,0.0,KY,0.006243022022414139,-2.734561328256908,5,46
2020-02-16,0.8461664384784807,0.1111,0.0,0.0,KY,0.0003857861355698327,8.564853193874296,6,47
2020-02-17,0.805230614345497,0.1111,0.0,0.0,KY,0.003777693631880135,11.548020994171353,0,48
2020-02-18,0.7550451309899464,0.1111,0.0,0.0,KY,2.7259363950814435,14.773342087627759,1,49
2020-02-19,0.8360103244837758,0.1111,0.0,0.0,KY,5.83986495785045,12.067271042444455,2,50
2020-02-20,0.8660066302302662,0.1111,0.0,0.0,KY,0.0044286135578811905,8.164200505661126,3,51
2020-02-21,1.0365946462144495,0.1111,0.0,0.0,KY,0.06932035415313383,3.8680366897860514,4,52
2020-02-22,1.1289373642288196,0.1111,0.0,0.0,KY,0.0,3.3513014802090466,5,53
2020-02-23,0.8728069517191699,0.1111,0.0,0.0,KY,0.001875269527414768,10.128505732387069,6,54
2020-02-24,0.7433342573100291,0.1111,0.0,0.0,KY,2.0323625597250348,13.105962063150175,0,55
2020-02-25,0.8220718180109042,0.1111,0.0,0.0,KY,16.54208542472665,9.939913387151561,1,56
2020-02-26,0.8414984941455683,0.1111,0.0,0.0,KY,1.1873723320612342,11.590110486899285,2,57
2020-02-27,0.8851780978784957,0.1111,0.0,0.0,KY,3.4236423799630464,5.883800999224647,3,58
2020-02-28,1.0730899778767766,0.1111,0.0,0.0,KY,0.1167181470344494,3.691187508844717,4,59
2020-02-29,1.1632053906261672,0.1111,0.0,0.0,KY,0.6391307227788062,5.8585868043752365,5,60
2020-03-01,0.9835535998671608,0.1111,0.0,0.0,KY,0.014323347547764443,4.936186576495586,6,61
2020-03-02,0.7960991849043083,0.1389,0.0,0.0,KY,5.03546646424571,18.218932052614225,0,62
2020-03-03,0.8774355322565983,0.1389,0.0,0.0,KY,22.93249943061257,14.86057588850607,1,63
2020-03-04,0.8885671218432797,0.1389,0.0,0.0,KY,0.5785516400544435,16.129726075363948,2,64
